0	0.000000	0.000000
30	1.591549	0.000000
60	1.591549	0.000000
90	1.591549	0.000000
120	1.591549	0.000000
150	1.587028	0.119886
180	1.587028	0.119886
210	1.587028	0.119886
240	1.573488	0.239091
270	1.573488	0.239091
300	1.573488	0.239091
330	1.573488	0.239091
360	1.551008	0.356938
390	1.551008	0.356938
420	1.551008	0.356938
450	1.551008	0.356938
480	1.519714	0.472756
510	1.519714	0.472756
540	1.519714	0.472756
570	1.519714	0.472756
600	1.479785	0.585888
630	1.479785	0.585888
660	1.479785	0.585888
690	1.479785	0.585888
720	1.431448	0.695691
750	1.431448	0.695691
780	1.431448	0.695691
810	1.431448	0.695691
840	1.374977	0.801541
870	1.374977	0.801541
900	1.374977	0.801541
930	1.374977	0.801541
960	1.310693	0.902837
990	1.310693	0.902837
1020	1.310693	0.902837
1050	1.310693	0.902837
1080	1.238961	0.999002
1110	1.238961	0.999002
1140	1.238961	0.999002
1170	1.238961	0.999002
1200	1.160190	1.089491
1230	1.160190	1.089491
1260	1.160190	1.089491
1290	1.160190	1.089491
1320	1.074826	1.173789
1350	1.074826	1.173789
1380	1.074826	1.173789
1410	1.074826	1.173789
1440	0.983354	1.251417
1470	0.983354	1.251417
1500	0.983354	1.251417
1530	0.983354	1.251417
1560	0.886295	1.321934
1590	0.886295	1.321934
1620	0.886295	1.321934
1650	0.886295	1.321934
1680	0.784200	1.384940
1710	0.784200	1.384940
1740	0.784200	1.384940
1770	0.784200	1.384940
1800	0.677649	1.440077
1830	0.677649	1.440077
1860	0.677649	1.440077
1890	0.677649	1.440077
1920	0.567247	1.487031
1950	0.567247	1.487031
1980	0.567247	1.487031
2010	0.567247	1.487031
2040	0.453622	1.525535
2070	0.453622	1.525535
2100	0.453622	1.525535
2130	0.453622	1.525535
2160	0.337420	1.555371
2190	0.337420	1.555371
2220	0.337420	1.555371
2250	0.337420	1.555371
2280	0.219300	1.576368
2310	0.219300	1.576368
2340	0.219300	1.576368
2370	0.219300	1.576368
2400	0.099934	1.588409
2430	0.099934	1.588409
2460	0.099934	1.588409
2490	0.099934	1.588409
2520	-0.019999	1.591424
2550	-0.019999	1.591424
2580	-0.019999	1.591424
2610	-0.019999	1.591424
2640	-0.139820	1.585396
2670	-0.139820	1.585396
2700	-0.139820	1.585396
2730	-0.139820	1.585396
2760	-0.258845	1.570359
2790	-0.258845	1.570359
2820	-0.258845	1.570359
2850	-0.258845	1.570359
2880	-0.376400	1.546400
2910	-0.376400	1.546400
2940	-0.376400	1.546400
2970	-0.376400	1.546400
3000	-0.491816	1.513653
3030	-0.491816	1.513653
3060	-0.491816	1.513653
3090	-0.491816	1.513653
3120	-0.604437	1.472306
3150	-0.604437	1.472306
3180	-0.604437	1.472306
3210	-0.604437	1.472306
3240	-0.713624	1.422593
3270	-0.713624	1.422593
3300	-0.713624	1.422593
3330	-0.713624	1.422593
3360	-0.818756	1.364796
3390	-0.818756	1.364796
3420	-0.818756	1.364796
3450	-0.818756	1.364796
3480	-0.919236	1.299244
3510	-0.919236	1.299244
3540	-0.919236	1.299244
3570	-0.919236	1.299244
3600	-1.014492	1.226310
3630	-1.014492	1.226310
3660	-1.014492	1.226310
3690	-1.014492	1.226310
3720	-1.103984	1.146407
3750	-1.103984	1.146407
3780	-1.103984	1.146407
3810	-1.103984	1.146407
3840	-1.187202	1.059991
3870	-1.187202	1.059991
3900	-1.187202	1.059991
3930	-1.187202	1.059991
3960	-1.263675	0.967551
3990	-1.263675	0.967551
4020	-1.263675	0.967551
4050	-1.263675	0.967551
4080	-1.332967	0.869614
4110	-1.332967	0.869614
4140	-1.332967	0.869614
4170	-1.332967	0.869614
4200	-1.394685	0.766735
4230	-1.394685	0.766735
4260	-1.394685	0.766735
4290	-1.394685	0.766735
4320	-1.448479	0.659499
4350	-1.448479	0.659499
4380	-1.448479	0.659499
4410	-1.448479	0.659499
4440	-1.494041	0.548516
4470	-1.494041	0.548516
4500	-1.494041	0.548516
4530	-1.494041	0.548516
4560	-1.531115	0.434416
4590	-1.531115	0.434416
4620	-1.531115	0.434416
4650	-1.531115	0.434416
4680	-1.559488	0.317848
4710	-1.559488	0.317848
4740	-1.559488	0.317848
4770	-1.559488	0.317848
4800	-1.579000	0.199474
4830	-1.579000	0.199474
4860	-1.579000	0.199474
4890	-1.579000	0.199474
4920	-1.589539	0.079966
4950	-1.589539	0.079966
4980	-1.589539	0.079966
5010	-1.589539	0.079966
5040	-1.591047	-0.039996
5070	-1.591047	-0.039996
5100	-1.591047	-0.039996
5130	-1.591047	-0.039996
5160	-1.583514	-0.159731
5190	-1.583514	-0.159731
5220	-1.583514	-0.159731
5250	-1.583514	-0.159731
5280	-1.566983	-0.278558
5310	-1.566983	-0.278558
5340	-1.566983	-0.278558
5370	-1.566983	-0.278558
5400	-1.541548	-0.395802
5430	-1.541548	-0.395802
5460	-1.541548	-0.395802
5490	-1.541548	-0.395802
5520	-1.507354	-0.510798
5550	-1.507354	-0.510798
5580	-1.507354	-0.510798
5610	-1.507354	-0.510798
5640	-1.464594	-0.622891
5670	-1.464594	-0.622891
5700	-1.464594	-0.622891
5730	-1.464594	-0.622891
5760	-1.413513	-0.731444
5790	-1.413513	-0.731444
5820	-1.413513	-0.731444
5850	-1.413513	-0.731444
5880	-1.354400	-0.835841
5910	-1.354400	-0.835841
5940	-1.354400	-0.835841
5970	-1.354400	-0.835841
6000	-1.287591	-0.935489
6030	-1.287591	-0.935489
6060	-1.287591	-0.935489
6090	-1.287591	-0.935489
6120	-1.213465	-1.029822
